Model,accuracy,precision,recall,F1,AUC
Logreg1,0.8923076923076924,0.8,0.8,0.8,0.8631578947368421
Logreg2,0.8384615384615385,0.6458333333333334,0.8857142857142857,0.7469879518072289,0.8533834586466166
KNN,0.8461538461538461,0.7272727272727273,0.6857142857142857,0.7058823529411765,0.7954887218045112
SVC,0.8923076923076924,0.8181818181818182,0.7714285714285715,0.7941176470588235,0.8541353383458646
